datetime,Q_obs
6/10/2015 10:29,513000
6/11/2015 10:09,490000
6/17/2015 17:52,576000
6/18/2015 18:06,605000
6/19/2015 12:09,633000
6/20/2015 11:19,672000
6/21/2015 11:49,677000
6/21/2015 12:12,670000
6/21/2015 12:32,691000
6/21/2015 12:48,693000
6/21/2015 13:02,685000
6/21/2015 13:15,696000
6/21/2015 13:29,685000
6/21/2015 13:43,688000
6/21/2015 13:57,690000
6/21/2015 14:10,691000
6/21/2015 15:05,690000
6/21/2015 15:18,687000
6/21/2015 15:32,682000
6/21/2015 15:46,690000
6/21/2015 16:00,690000
6/21/2015 16:13,689000
6/21/2015 16:27,690000
6/21/2015 17:47,686000
6/21/2015 18:00,670000
6/21/2015 18:14,664000
6/21/2015 18:27,667000
6/21/2015 18:43,668000
6/21/2015 19:02,678000
6/22/2015 9:56,649000
6/23/2015 16:48,649000
6/24/2015 9:27,652000
6/26/2015 19:52,642000
6/27/2015 13:16,662000
6/28/2015 16:13,700000
7/1/2015 14:17,705000
7/2/2015 13:04,642000
7/3/2015 12:40,647000
7/4/2015 18:57,632000
7/5/2015 10:22,623000
7/7/2015 11:07,555000
7/7/2015 14:37,542000
7/8/2015 11:07,500000
7/9/2015 10:44,529000
7/10/2015 9:47,583000
7/11/2015 10:47,631000
7/12/2015 18:45,592000
7/13/2015 14:15,567000
7/14/2015 10:14,565000
7/15/2015 9:34,550000
7/16/2015 9:08,561000
7/17/2015 9:30,509000
7/18/2015 11:31,467000
7/19/2015 11:31,467000
7/21/2015 14:36,537000
7/24/2015 10:48,500000
7/25/2015 10:21,454000
7/26/2015 10:25,412000
7/27/2015 9:24,412000
7/28/2015 9:14,422000
7/29/2015 8:53,428000
7/31/2015 13:33,407000
8/3/2015 13:11,375000
8/5/2015 12:14,346000
8/6/2015 10:09,320000
8/7/2015 11:36,318000
8/11/2015 12:21,233000
